Synthesis Time (min),Heat Of Fusion (J/g)
6.967128751258283,7.596244473314783,0.51% graphene platelet
9.83194609799824,5.374218094643772,0.51% graphene platelet
12.207177562214449,11.848205564463909,0.51% graphene platelet
14.78016729742527,10.248268638501946,0.51% graphene platelet
17.278085830431234,8.899249362126438,0.51% graphene platelet
19.759549672949476,23.57314118300588,0.51% graphene platelet
6.967128751258283,-1.0454559061876052,0.5% graphene platelet
9.83194609799824,-1.1063569812423315,0.5% graphene platelet
12.207177562214449,-1.1333186777294704,0.5% graphene platelet
14.78016729742527,-1.1481113781306893,0.5% graphene platelet
17.278085830431234,-1.1550872179579144,0.5% graphene platelet
19.759549672949476,-1.1578460891067337,0.5% graphene platelet
6.967128751258283,-0.4756812386714856,0.89% graphene platelet
9.83194609799824,-0.5512154023069245,0.89% graphene platelet
12.207177562214449,-0.5767121093723151,0.89% graphene platelet
14.78016729742527,-0.5912687981331229,0.89% graphene platelet
17.278085830431234,-0.5971243038774782,0.89% graphene platelet
19.759549672949476,-0.6001939092397325,0.89% graphene platelet
6.967128751258283,-1.6459061422477312,0.78% graphene platelet
9.83194609799824,-1.7224006591317973,0.78% graphene platelet
12.207177562214449,-1.747339154307707,0.78% graphene platelet
14.78016729742527,-1.7620487200148574,0.78% graphene platelet
17.278085830431234,-1.7671909500161815,0.78% graphene platelet
19.759549672949476,-1.770309278086734,0.78% graphene platelet
