Loading Concentration (%),Dielectric Breakdown Strength (MV/m)
6.222968916960953,8.771581915369481,Poly(glycidyl methacrylate)
15.236661237040463,2.7039961997354336,Poly(glycidyl methacrylate)
17.247572718062525,166.39689459669873,Poly(glycidyl methacrylate)
17.7717267752898,385.33805497436236,Poly(glycidyl methacrylate)
6.222968916960953,3.538694965320614,PVC-P
15.236661237040463,-32.76238216227261,PVC-P
17.247572718062525,175.36616146000694,PVC-P
17.7717267752898,691.5359813328333,PVC-P
6.222968916960953,3.695338141663538,PVDF
15.236661237040463,3.5581063276914584,PVDF
17.247572718062525,3.553392143279656,PVDF
17.7717267752898,3.5524549332508855,PVDF
6.222968916960953,7.828033073895331,DGEBD Epoxy Resin
15.236661237040463,7.668611997858288,DGEBD Epoxy Resin
17.247572718062525,7.664196457379757,DGEBD Epoxy Resin
17.7717267752898,7.663074234891745,DGEBD Epoxy Resin
6.222968916960953,3.7389561187353344,Polyurethane
15.236661237040463,3.6003045685556114,Polyurethane
17.247572718062525,3.595811316350137,Polyurethane
17.7717267752898,3.594998748005922,Polyurethane
