Volume Fraction (%),Complex Viscosity (Pa·s)
0,3.8038407710879354,Silver/Thermoplastic polyurethane
1,4.587971404387954,Silver/Thermoplastic polyurethane
3,6.350311189899762,Silver/Thermoplastic polyurethane
6,6.444172804936111,Silver/Thermoplastic polyurethane
7,12.702081173972381,Silver/Thermoplastic polyurethane
0,1.0656999230255777,octyldimethylmethoxysilane/Thermoplastic polyurethane
1,0.5376444879844805,octyldimethylmethoxysilane/Thermoplastic polyurethane
3,0.22335955079030345,octyldimethylmethoxysilane/Thermoplastic polyurethane
6,-0.018298012326413537,octyldimethylmethoxysilane/Thermoplastic polyurethane
7,-0.015144740794444722,octyldimethylmethoxysilane/Thermoplastic polyurethane
0,4.74035045408055,ZnO/Thermoplastic polyurethane
1,4.636041012046479,ZnO/Thermoplastic polyurethane
3,4.325662402572025,ZnO/Thermoplastic polyurethane
6,4.050030702895235,ZnO/Thermoplastic polyurethane
7,4.020260308779861,ZnO/Thermoplastic polyurethane
0,0.823247200034761,Lamp black/Thermoplastic polyurethane
1,0.13654562841234774,Lamp black/Thermoplastic polyurethane
3,-0.23214618889916921,Lamp black/Thermoplastic polyurethane
6,-0.4580939872708697,Lamp black/Thermoplastic polyurethane
7,-0.48444661831132085,Lamp black/Thermoplastic polyurethane
