Synthesis Temperature (°C),Toughness (MJ/m³)
7,-0.39556164545563544,Poly(ethylene-vinyl acetate)
9,14.50050450493301,Poly(ethylene-vinyl acetate)
12,27.713879565636013,Poly(ethylene-vinyl acetate)
14,100.96232637171342,Poly(ethylene-vinyl acetate)
15,175.36637180407746,Poly(ethylene-vinyl acetate)
7,4.853091308556354,PMMA-PnBA-PMMA
9,27.171424030366552,PMMA-PnBA-PMMA
12,60.30330735842532,PMMA-PnBA-PMMA
14,75.77715868366562,PMMA-PnBA-PMMA
15,214.9082700791486,PMMA-PnBA-PMMA
7,-7.495696757475639,PnBA
9,-7.541246523736721,PnBA
12,-7.583862866734856,PnBA
14,-7.595945792519355,PnBA
15,-7.598716256299838,PnBA
7,8.576836291311787,Nylon 12
9,21.380246923498873,Nylon 12
12,37.66627540057306,Nylon 12
14,3.1984233161469504,Nylon 12
15,23.435655344455135,Nylon 12
