Dielectric Constant,Specific Heat (J/(g·K))
2.2597690321329478,-0.8197696829584415,0.39% Paraffinum liquidum/PEKK
2.5490265348759045,-0.7274043169107105,0.39% Paraffinum liquidum/PEKK
15.655460113816995,-1.1718345109699952,0.39% Paraffinum liquidum/PEKK
7.116082932567327,-4.960094025362849,0.38% Paraffinum liquidum/PEKK
8.015003802845836,-4.9613722156057,0.38% Paraffinum liquidum/PEKK
17.406109904621424,-5.230359184368313,0.38% Paraffinum liquidum/PEKK
12.303786951323566,60.47709235923644,0.1% Paraffinum liquidum/PEKK
14.296924765532502,21.334751569785332,0.1% Paraffinum liquidum/PEKK
15.971177248060947,-44.1742842148042,0.1% Paraffinum liquidum/PEKK
14.101650958548596,-3.384888691090963,0.87% Paraffinum liquidum/PEKK
17.354752384450148,-3.4441910926650325,0.87% Paraffinum liquidum/PEKK
19.720005214431865,-3.4702118346848736,0.87% Paraffinum liquidum/PEKK
9,-6.076810736456471,0.56% Paraffinum liquidum/PEKK
13,-6.128233950992217,0.56% Paraffinum liquidum/PEKK
15,-6.139231138387005,0.56% Paraffinum liquidum/PEKK
