Decomposition Temperature (°C),X-ray Diffraction Intensity
0.7366298750821909,4.641863655383714,0.92% Copper phenylphosphate/P(VDF-TrFE)
10.230128700100984,4.1762407143259646,0.92% Copper phenylphosphate/P(VDF-TrFE)
16.101311279858635,4.0651911017972475,0.92% Copper phenylphosphate/P(VDF-TrFE)
0.3877194188796973,-4.558040009162128,0.88% Copper phenylphosphate/P(VDF-TrFE)
13.751541294981145,-0.1537136329508817,0.88% Copper phenylphosphate/P(VDF-TrFE)
17.315858413373903,7.674810021586257,0.88% Copper phenylphosphate/P(VDF-TrFE)
9,17.03181964160884,0.09% Copper phenylphosphate/P(VDF-TrFE)
12,37.52747098378799,0.09% Copper phenylphosphate/P(VDF-TrFE)
18,266.9333433834006,0.09% Copper phenylphosphate/P(VDF-TrFE)
3.476770918785692,5.619092232202378,0.75% Copper phenylphosphate/P(VDF-TrFE)
15.755476639369661,5.275434294577163,0.75% Copper phenylphosphate/P(VDF-TrFE)
16.485566389149536,5.272709081754676,0.75% Copper phenylphosphate/P(VDF-TrFE)
4,0.24448336240232538,0.35% Copper phenylphosphate/P(VDF-TrFE)
14,-0.05862318238234955,0.35% Copper phenylphosphate/P(VDF-TrFE)
17,-0.06675005127763693,0.35% Copper phenylphosphate/P(VDF-TrFE)
