Reaction Temperature (°C),Compression Strength (MPa)
5,1.0965227842109444,Magnesium oxide/Poly(butylene terephthalate)
7,0.9640867478681725,Magnesium oxide/Poly(butylene terephthalate)
10,0.886257198797988,Magnesium oxide/Poly(butylene terephthalate)
16,0.8456538422796516,Magnesium oxide/Poly(butylene terephthalate)
17,0.8434008716146919,Magnesium oxide/Poly(butylene terephthalate)
5,0.6183223533172458,Carbon nanofibers/Poly(butylene terephthalate)
7,0.5517871154340647,Carbon nanofibers/Poly(butylene terephthalate)
10,0.39622008224158317,Carbon nanofibers/Poly(butylene terephthalate)
16,0.2048967990458841,Carbon nanofibers/Poly(butylene terephthalate)
17,0.20466910021675283,Carbon nanofibers/Poly(butylene terephthalate)
