Synthesis Temperature (°C),Kinematic Viscosity (mm²/s)
1,1.4360979755403047,Poly(butylene terephthalate)
5,1.1469906428847136,Poly(butylene terephthalate)
6,1.1015577886630141,Poly(butylene terephthalate)
9,0.9107318292747086,Poly(butylene terephthalate)
10,0.8775254760706469,Poly(butylene terephthalate)
18,0.678078814622733,Poly(butylene terephthalate)
1,-5.246447720674298,Poly(methyl acrylate)
5,-5.321280440556686,Poly(methyl acrylate)
6,-4.715890870921829,Poly(methyl acrylate)
9,-5.903197875316722,Poly(methyl acrylate)
10,-6.129657173375561,Poly(methyl acrylate)
18,-10.515718130522163,Poly(methyl acrylate)
1,0.1404666131616128,Poly(benzoxazine)
5,0.1266892656572043,Poly(benzoxazine)
6,0.03850228772224673,Poly(benzoxazine)
9,-0.12617817684324317,Poly(benzoxazine)
10,-0.1626024085978306,Poly(benzoxazine)
18,-0.31582128303911455,Poly(benzoxazine)
