Stress (Pa),Coercivity (A/m)
2.0483173347923445,-2.233508926303182,0.02% Carbon Black
14.574967700714152,1.3242923297524207,0.02% Carbon Black
15.42168576938273,-0.9638634283000842,0.02% Carbon Black
17.327639100089872,9.010972423795138,0.02% Carbon Black
18.87560087923286,15.164112738525034,0.02% Carbon Black
2.0483173347923445,7.977511816419346,0.75% Carbon Black
14.574967700714152,11.584527938339097,0.75% Carbon Black
15.42168576938273,14.684886843413352,0.75% Carbon Black
17.327639100089872,13.637866157506819,0.75% Carbon Black
18.87560087923286,25.282438390387586,0.75% Carbon Black
