Calcination Temperature (°C),Fracture Toughness (MPa·m^0.5)
9.48901641679505,-4.752904119081844,0.93% Calcium Carbonate/PA63T
12.9459920155293,-4.789147345378069,0.93% Calcium Carbonate/PA63T
15.093664937030622,-4.7995241413897896,0.93% Calcium Carbonate/PA63T
15.495618604520038,-4.8012013857335365,0.93% Calcium Carbonate/PA63T
17.472535284716056,-4.805733567043599,0.93% Calcium Carbonate/PA63T
17.917246645230286,-4.806544365458236,0.93% Calcium Carbonate/PA63T
9.48901641679505,1.2909748652094066,0.6% Calcium Carbonate/PA63T
12.9459920155293,1.171918215524036,0.6% Calcium Carbonate/PA63T
15.093664937030622,1.1589679216638549,0.6% Calcium Carbonate/PA63T
15.495618604520038,1.1326398534140842,0.6% Calcium Carbonate/PA63T
17.472535284716056,1.0914852840050735,0.6% Calcium Carbonate/PA63T
17.917246645230286,1.0930057540026363,0.6% Calcium Carbonate/PA63T
9.48901641679505,-2.4308415582253313,0.93% Calcium Carbonate/PA63T
12.9459920155293,-2.576610993097241,0.93% Calcium Carbonate/PA63T
15.093664937030622,-2.6149945378842583,0.93% Calcium Carbonate/PA63T
15.495618604520038,-2.620112807771526,0.93% Calcium Carbonate/PA63T
17.472535284716056,-2.653905716590775,0.93% Calcium Carbonate/PA63T
17.917246645230286,-2.6673397106712176,0.93% Calcium Carbonate/PA63T
9.48901641679505,15.934812672600955,0.24% Calcium Carbonate/PA63T
12.9459920155293,7.127560362523608,0.24% Calcium Carbonate/PA63T
15.093664937030622,148.0479373778269,0.24% Calcium Carbonate/PA63T
15.495618604520038,103.03646308273096,0.24% Calcium Carbonate/PA63T
17.472535284716056,144.47166254275422,0.24% Calcium Carbonate/PA63T
17.917246645230286,336.6470390774607,0.24% Calcium Carbonate/PA63T
