Electron Beam Dose (Gy),Thermal Resistance (K/W)
0.15113992679687716,-4.331166779841097,0.82% expanded graphite
2.058118534383926,-4.874811403683845,0.82% expanded graphite
13.146509771939211,-5.422476830090911,0.82% expanded graphite
13.704262676729716,-5.423287794884993,0.82% expanded graphite
0.15113992679687716,-6.645379618250239,0.63% expanded graphite
2.058118534383926,-6.771280060332425,0.63% expanded graphite
13.146509771939211,-7.450532682085198,0.63% expanded graphite
13.704262676729716,-7.483352827217344,0.63% expanded graphite
0.15113992679687716,-4.447618340226423,0.16% expanded graphite
2.058118534383926,-4.621432746743567,0.16% expanded graphite
13.146509771939211,-5.050853223233244,0.16% expanded graphite
13.704262676729716,-5.071921539111018,0.16% expanded graphite
