Film Thickness (µm),Bulk Modulus (GPa)
1,0.08185272806062871,0.63% fumed silica/PPSU
5,0.11223668721862345,0.63% fumed silica/PPSU
12,-0.3075081997363799,0.63% fumed silica/PPSU
17,-0.451452465452446,0.63% fumed silica/PPSU
1,5.153717887297503,0.85% fumed silica/PPSU
5,5.502129705227837,0.85% fumed silica/PPSU
12,5.415592261091305,0.85% fumed silica/PPSU
17,3.221270941099256,0.85% fumed silica/PPSU
1,-6.978303135853802,0.22% fumed silica/PPSU
5,-6.107557847445498,0.22% fumed silica/PPSU
12,-8.153495039710037,0.22% fumed silica/PPSU
17,-11.84392715323767,0.22% fumed silica/PPSU
1,0.7658106171880024,0.87% fumed silica/PPSU
5,3.647638666868959,0.87% fumed silica/PPSU
12,53.24861861392083,0.87% fumed silica/PPSU
17,601.4517725769765,0.87% fumed silica/PPSU
