Mixing Time (min),Fracture Toughness (MPa·m^0.5)
4.139761167919211,6.462816231276673,0.16% barium strontium titanate/P4VP
10.156608549720305,6.099481145160296,0.16% barium strontium titanate/P4VP
11.356431677414056,6.000626862341226,0.16% barium strontium titanate/P4VP
4.139761167919211,-6.0512998690874,0.47% barium strontium titanate/P4VP
10.156608549720305,-6.303197944162613,0.47% barium strontium titanate/P4VP
11.356431677414056,-6.32361405555498,0.47% barium strontium titanate/P4VP
4.139761167919211,-2.6094073159622067,0.46% barium strontium titanate/P4VP
10.156608549720305,-2.8478177376673375,0.46% barium strontium titanate/P4VP
11.356431677414056,-2.875729599532082,0.46% barium strontium titanate/P4VP
4.139761167919211,1.1409689425200904,0.08% barium strontium titanate/P4VP
10.156608549720305,18.418302197390915,0.08% barium strontium titanate/P4VP
11.356431677414056,36.40647689772384,0.08% barium strontium titanate/P4VP
4.139761167919211,4.4621952736398125,0.03% barium strontium titanate/P4VP
10.156608549720305,12.715026807561207,0.03% barium strontium titanate/P4VP
11.356431677414056,-5.505035247947227,0.03% barium strontium titanate/P4VP
