Particle Diameter (nm),Particle Size (nm)
0,-3.6444498517082,Nylon 66
10,27.135461235214173,Nylon 66
14,51.34273240624485,Nylon 66
15,264.4995714347002,Nylon 66
18,-61.01404774304248,Nylon 66
0,8.984877923638662,EPDM rubber
10,41.142739964791296,EPDM rubber
14,112.80044443456325,EPDM rubber
15,81.19688821071392,EPDM rubber
18,-154.32004888347157,EPDM rubber
0,5.425446102163502,Nylon 6T
10,7.792366046269993,Nylon 6T
14,8.165828193561907,Nylon 6T
15,14.901565865909955,Nylon 6T
18,11.033011738655151,Nylon 6T
0,-4.378586613983561,PEO
10,16.132491856135736,PEO
14,-5.666211930051054,PEO
15,13.571115608803234,PEO
18,15.621250718128843,PEO
