Crosslinking Density (mol/m³),Crystallization Temperature (°C)
9.85956552497816,6.726704872008234,Sodium titanate nanotubes/Nylon 6
12.42091341498599,6.695832094078513,Sodium titanate nanotubes/Nylon 6
14.850093662894007,6.6838349325953175,Sodium titanate nanotubes/Nylon 6
9.85956552497816,6.1721144391184355,Cellulose/Nylon 6
12.42091341498599,6.132743769755233,Cellulose/Nylon 6
14.850093662894007,6.048783077905448,Cellulose/Nylon 6
9.85956552497816,10.137093809700666,Zinc oxide/Nylon 6
12.42091341498599,11.611747379361434,Zinc oxide/Nylon 6
14.850093662894007,7.72660149656814,Zinc oxide/Nylon 6
9.85956552497816,-4.96090309837357,Zinc Oxide/Nylon 6
12.42091341498599,-5.002014054451702,Zinc Oxide/Nylon 6
14.850093662894007,-5.012146080341541,Zinc Oxide/Nylon 6
