Aging Time (h),Glass Transition Temperature (°C)
2.3921889705327715,-2.3327835091021027,0.11% Aluminium dioxide/Poly(methyl methacrylate)
2.661427026079759,-0.6287290245684485,0.11% Aluminium dioxide/Poly(methyl methacrylate)
9.501656316928045,18.75696353364699,0.11% Aluminium dioxide/Poly(methyl methacrylate)
5,4.850302085425772,0.6% Aluminium dioxide/Poly(methyl methacrylate)
14,4.475554966715644,0.6% Aluminium dioxide/Poly(methyl methacrylate)
16,4.444133830259592,0.6% Aluminium dioxide/Poly(methyl methacrylate)
1.7767384650979912,-2.151413906990186,0.84% Aluminium dioxide/Poly(methyl methacrylate)
2.9430086691997848,-2.3452107602148464,0.84% Aluminium dioxide/Poly(methyl methacrylate)
5.786025887273302,-1.3411460942866404,0.84% Aluminium dioxide/Poly(methyl methacrylate)
8.37047384344869,9.958853879634757,0.98% Aluminium dioxide/Poly(methyl methacrylate)
11.62772116297849,59.22041644917753,0.98% Aluminium dioxide/Poly(methyl methacrylate)
15.053006279105979,22.323675211541115,0.98% Aluminium dioxide/Poly(methyl methacrylate)
2.442795127173012,6.801628487510168,0.8% Aluminium dioxide/Poly(methyl methacrylate)
5.392257801194297,6.859711008176865,0.8% Aluminium dioxide/Poly(methyl methacrylate)
9.57482273609579,6.517510086422987,0.8% Aluminium dioxide/Poly(methyl methacrylate)
