Strain,Shear Strength (MPa)
1,-1.6894810435540588,expandable graphite/BPA-Ph
3,-1.3993540123302557,expandable graphite/BPA-Ph
16,-4.14608730494209,expandable graphite/BPA-Ph
17,0.760401773446103,expandable graphite/BPA-Ph
1,-0.31835824295362036,Graphite oxide/BPA-Ph
3,-0.6671335940608458,Graphite oxide/BPA-Ph
16,-1.1710177528575412,Graphite oxide/BPA-Ph
17,-1.1738725176425826,Graphite oxide/BPA-Ph
1,1.8890829395017066,Cellulose/BPA-Ph
3,1.4420106660957677,Cellulose/BPA-Ph
16,1.0387665796932894,Cellulose/BPA-Ph
17,1.0371922234703905,Cellulose/BPA-Ph
1,-1.7403324233708588,White mineral oil/BPA-Ph
3,-2.000718443812197,White mineral oil/BPA-Ph
16,-2.4474362123796554,White mineral oil/BPA-Ph
17,-2.449360849262021,White mineral oil/BPA-Ph
1,-0.8008042171200842,MMT/BPA-Ph
3,-0.7438715881041036,MMT/BPA-Ph
16,258.53049516849836,MMT/BPA-Ph
17,289.127104071756,MMT/BPA-Ph
