Mixing Time (min),Heat Of Crystallization (J/g)
1.212277349416766,6.408428017213837,COC
7.337584296085082,15.804903926690669,COC
17.975682981738863,950.7661325887595,COC
1.212277349416766,-2.143849626346218,DGEBA Epoxy Resin
7.337584296085082,-2.6696976472819527,DGEBA Epoxy Resin
17.975682981738863,-2.934695977398481,DGEBA Epoxy Resin
1.212277349416766,-0.1309150848318258,PBA
7.337584296085082,-0.761391114886671,PBA
17.975682981738863,-0.8700307687188522,PBA
1.212277349416766,-5.1616871101252375,PA 6(3)T
7.337584296085082,-5.8106651951974655,PA 6(3)T
17.975682981738863,-6.044661435768856,PA 6(3)T
