Electron Beam Dose (Gy),Magnetic Anisotropy (J/m³)
1.6983587016970092,4.866685123923856,
6.36702369529853,5.247079869440326,
8.536096011321133,6.91100587316482,
1.6983587016970092,3.091620097480607,
6.36702369529853,3.012487605758218,
8.536096011321133,2.885197396293619,
1.6983587016970092,1.960539103416592,
6.36702369529853,1.614699113659933,
8.536096011321133,1.5356898790887787,
1.6983587016970092,-4.329319419230704,
6.36702369529853,-4.691323260999292,
8.536096011321133,-4.768756650936087,
1.6983587016970092,6.699487220012949,
6.36702369529853,7.1533274238982765,
8.536096011321133,7.286386686177565,
