Nanoparticle Volume (%),Coefficient Of Thermal Expansion (1/K)
1.170717217032755,7.579309078711459,zirconium dioxide/PC
2.041952716427422,8.996521051842329,zirconium dioxide/PC
6.609578839441079,14.245363373388514,zirconium dioxide/PC
8.571270018014712,22.881068480250903,zirconium dioxide/PC
14.338963156855336,158.80020379140117,zirconium dioxide/PC
14.728156134520916,99.25719068250996,zirconium dioxide/PC
1.170717217032755,8.182163324895534,Zinc Oxide/PC
2.041952716427422,8.953082003158032,Zinc Oxide/PC
6.609578839441079,8.382650056921754,Zinc Oxide/PC
8.571270018014712,12.373139356308736,Zinc Oxide/PC
14.338963156855336,9.294383449293452,Zinc Oxide/PC
14.728156134520916,8.32742861842258,Zinc Oxide/PC
1.170717217032755,1.0982449295725092,Clay/PC
2.041952716427422,0.9550312063837859,Clay/PC
6.609578839441079,0.459620505666123,Clay/PC
8.571270018014712,0.41250034089182525,Clay/PC
14.338963156855336,0.3497794459793368,Clay/PC
14.728156134520916,0.3473704205420213,Clay/PC
1.170717217032755,3.739607024062665,C60/PC
2.041952716427422,3.273018941965397,C60/PC
6.609578839441079,3.0204494434116516,C60/PC
8.571270018014712,2.407097199024272,C60/PC
14.338963156855336,4.876554912184569,C60/PC
14.728156134520916,10.069497278255916,C60/PC
1.170717217032755,-0.5407400564254596,cellulose nanocrystals/PC
2.041952716427422,-0.15347688706293128,cellulose nanocrystals/PC
6.609578839441079,1.7781737614907058,cellulose nanocrystals/PC
8.571270018014712,-0.06574134088009087,cellulose nanocrystals/PC
14.338963156855336,10.031569942242953,cellulose nanocrystals/PC
14.728156134520916,4.34905753138864,cellulose nanocrystals/PC
