Particle Diameter (nm),Tensile Strength (MPa)
9,10.529076015877013,Aluminium oxide/PEMA
11,55.43810810174116,Aluminium oxide/PEMA
13,-3.84749945150444,Aluminium oxide/PEMA
2.770028722306297,8.623108583140286,graphene oxide/PEMA
9.462270413338183,10.221434481151604,graphene oxide/PEMA
13.757125158927428,179.70261231620339,graphene oxide/PEMA
3.5441912723833613,-0.5853247330872516,Cu(HO3PC6H5)2/PEMA
5.970698714785665,-0.8078182436215888,Cu(HO3PC6H5)2/PEMA
11.082983606470226,-1.0111457772961947,Cu(HO3PC6H5)2/PEMA
2.40846122476164,-0.20084068495291596,Titanate nanotubes/PEMA
13.592570576557055,-0.4395819475050694,Titanate nanotubes/PEMA
15.060266219048286,-0.47894471028550123,Titanate nanotubes/PEMA
2,-3.425149475025052,White spirits/PEMA
5,-3.890657202520653,White spirits/PEMA
18,-4.32328894354451,White spirits/PEMA
