Magnetic Field Strength (T),Electric Field Strength (V/m)
9.084264729905753,16.499869649177135,PHEA
12.370942191145371,74.92689499449531,PHEA
12.748718646842448,25.999473308230115,PHEA
12.943444160465134,-0.4600800051419096,PHEA
13.80724705284183,74.96746631194137,PHEA
9.084264729905753,-2.5295120406537053,Poly(2-hydroxyethyl methacrylate)
12.370942191145371,-2.5691601510269884,Poly(2-hydroxyethyl methacrylate)
12.748718646842448,-2.5725183676978562,Poly(2-hydroxyethyl methacrylate)
12.943444160465134,-2.5739004424715124,Poly(2-hydroxyethyl methacrylate)
13.80724705284183,-2.5783505168077983,Poly(2-hydroxyethyl methacrylate)
9.084264729905753,6.991852925976073,PA 6T
12.370942191145371,6.959221807885364,PA 6T
12.748718646842448,6.955826342310121,PA 6T
12.943444160465134,6.95526542512406,PA 6T
13.80724705284183,6.949107439679761,PA 6T
