Curing Time (min),Shear Viscosity (Pa·s)
0.5269790877720215,3.8159721048917,titanium dioxide/PTFCE
7.99392826607904,3.246771478422595,titanium dioxide/PTFCE
13.507451836530429,3.1726083456817222,titanium dioxide/PTFCE
13.673662563953435,3.170396796828132,titanium dioxide/PTFCE
15.668200706113746,3.163559064890078,titanium dioxide/PTFCE
0.5269790877720215,4.218257907930173,Alumina/PTFCE
7.99392826607904,3.545868181616706,Alumina/PTFCE
13.507451836530429,3.334987872294803,Alumina/PTFCE
13.673662563953435,3.356579457731293,Alumina/PTFCE
15.668200706113746,3.3028148939363895,Alumina/PTFCE
