Aspect Ratio,Toughness (MJ/m³)
4.051280551264358,-2.8161912655437735,"Iron(II,III) oxide/Nylon 11"
4.7984521938304,-3.5584361739944157,"Iron(II,III) oxide/Nylon 11"
11.674170580246807,18.95018839439016,"Iron(II,III) oxide/Nylon 11"
17.587685311622295,148.84544016880903,"Iron(II,III) oxide/Nylon 11"
19.45874100925709,858.4018886920642,"Iron(II,III) oxide/Nylon 11"
5,4.0535228915530865,carbon nanotube/Nylon 11
12,3.8631895303933494,carbon nanotube/Nylon 11
13,3.8540168914044584,carbon nanotube/Nylon 11
15,3.845085937925049,carbon nanotube/Nylon 11
16,3.84281702468605,carbon nanotube/Nylon 11
1,-1.4228248249073658,silver hexafluoroantimonate/Nylon 11
5,-1.6105759174692311,silver hexafluoroantimonate/Nylon 11
9,-1.8290459174504006,silver hexafluoroantimonate/Nylon 11
14,-1.9682200826220122,silver hexafluoroantimonate/Nylon 11
15,-2.016019112858926,silver hexafluoroantimonate/Nylon 11
