Young’s Modulus (GPa),Magnetic Anisotropy (J/m³)
2,1.1649155703930711,0.61% Dodecylbenzenesulfonic acid
3,1.013504838825159,0.61% Dodecylbenzenesulfonic acid
7,0.6907382198283907,0.61% Dodecylbenzenesulfonic acid
8,0.6531936550325143,0.61% Dodecylbenzenesulfonic acid
10,0.6235562155955598,0.61% Dodecylbenzenesulfonic acid
2,0.7442994869371633,0.63% Dodecylbenzenesulfonic acid
3,-0.09558376943542157,0.63% Dodecylbenzenesulfonic acid
7,3.8364297501854487,0.63% Dodecylbenzenesulfonic acid
8,12.438025288629145,0.63% Dodecylbenzenesulfonic acid
10,54.21506937721286,0.63% Dodecylbenzenesulfonic acid
2,-1.849456418441764,0.4% Dodecylbenzenesulfonic acid
3,-1.9982756719349892,0.4% Dodecylbenzenesulfonic acid
7,-2.1725320020589303,0.4% Dodecylbenzenesulfonic acid
8,-2.2300069335738577,0.4% Dodecylbenzenesulfonic acid
10,-2.287599675605509,0.4% Dodecylbenzenesulfonic acid
2,3.316921991095836,0.61% Dodecylbenzenesulfonic acid
3,3.296807613970571,0.61% Dodecylbenzenesulfonic acid
7,2.875537450295733,0.61% Dodecylbenzenesulfonic acid
8,2.9653232608088453,0.61% Dodecylbenzenesulfonic acid
10,2.792234808079563,0.61% Dodecylbenzenesulfonic acid
