Shear Rate (1/s),Pore Volume (cm³/g)
1.4337029009465896,-0.7631192776302436,0.34% Carbon nanofibers/PS-I
1.5651165330687067,-1.0025185547273394,0.34% Carbon nanofibers/PS-I
7.931969134404571,0.06809288720590168,0.34% Carbon nanofibers/PS-I
11.322098776166438,3.8386171920890444,0.34% Carbon nanofibers/PS-I
17.160863180700556,6.3825264916840325,0.34% Carbon nanofibers/PS-I
1.4337029009465896,-5.962030974615917,0.69% Carbon nanofibers/PS-I
1.5651165330687067,-5.193786100030689,0.69% Carbon nanofibers/PS-I
7.931969134404571,2.606841578880699,0.69% Carbon nanofibers/PS-I
11.322098776166438,25.92556526537549,0.69% Carbon nanofibers/PS-I
17.160863180700556,222.87733001222676,0.69% Carbon nanofibers/PS-I
1.4337029009465896,-1.8649388520225698,0.71% Carbon nanofibers/PS-I
1.5651165330687067,-1.7020312329682086,0.71% Carbon nanofibers/PS-I
7.931969134404571,-2.2550577529285185,0.71% Carbon nanofibers/PS-I
11.322098776166438,-2.3138278252079134,0.71% Carbon nanofibers/PS-I
17.160863180700556,-2.3445534214545254,0.71% Carbon nanofibers/PS-I
1.4337029009465896,3.1142988999642007,0.78% Carbon nanofibers/PS-I
1.5651165330687067,3.231655100927096,0.78% Carbon nanofibers/PS-I
7.931969134404571,15.54268880804345,0.78% Carbon nanofibers/PS-I
11.322098776166438,44.696765988226026,0.78% Carbon nanofibers/PS-I
17.160863180700556,139.9636132291904,0.78% Carbon nanofibers/PS-I
