Specific Surface Area (m²/g),Reduction Potential (V)
3,6.893571590107298,Poly(vinylidene fluoride)
14,6.410696479030768,Poly(vinylidene fluoride)
19,6.399819103188381,Poly(vinylidene fluoride)
0,7.31673718440769,Polychlorotrifluoroethylene
17,6.548852650982811,Polychlorotrifluoroethylene
18,6.547472285217078,Polychlorotrifluoroethylene
5,-2.4813150800068,DGEBF Epoxy Resin
13,0.043053749423165755,DGEBF Epoxy Resin
15,1.5457168699603212,DGEBF Epoxy Resin
7.487119353682967,-6.947819041935062,PETP
16.501221841916976,-7.057561127833493,PETP
18.235677289773466,-7.060215813245626,PETP
