wt%,Heat Of Crystallization (J/g)
8,-6.216413988637237,"Iron(II,III) oxide/PETP"
10,-6.217935183968814,"Iron(II,III) oxide/PETP"
13,-6.348180030752974,"Iron(II,III) oxide/PETP"
14,-6.35574387309944,"Iron(II,III) oxide/PETP"
16,-6.411795800944599,"Iron(II,III) oxide/PETP"
2,8.267195684663307,Silver/PETP
10,10.718959858111702,Silver/PETP
13,12.150477982339915,Silver/PETP
15,13.835953124082462,Silver/PETP
18,10.197665145081432,Silver/PETP
2,-2.7259973887280156,Titanium dioxide/PETP
9,-2.8918727367793826,Titanium dioxide/PETP
10,-0.3444717912183757,Titanium dioxide/PETP
13,-0.04190335727640715,Titanium dioxide/PETP
15,-2.1446537890896984,Titanium dioxide/PETP
1.582207373591762,7.313407085995828,Fe3O4/PETP
7.348888108672316,16.53299932912722,Fe3O4/PETP
16.203105033275335,232.8618717289389,Fe3O4/PETP
16.488574392298414,290.600447190546,Fe3O4/PETP
18.629884297397954,-154.08409551562897,Fe3O4/PETP
6,17.39888249692588,Methoxy(dimethyl)octylsilane/PETP
7,13.318562772847997,Methoxy(dimethyl)octylsilane/PETP
10,35.77322474018959,Methoxy(dimethyl)octylsilane/PETP
13,70.20377439728946,Methoxy(dimethyl)octylsilane/PETP
19,917.5276143289973,Methoxy(dimethyl)octylsilane/PETP
