Evaporation Temperature (°C),Thermal Conductivity (W/(m·K))
5.027245911134903,7.931214032494732,multi-walled carbon nanotube/Nylon 12
8.37005639818022,6.597132743269513,multi-walled carbon nanotube/Nylon 12
9.811664914238108,11.091996853975761,multi-walled carbon nanotube/Nylon 12
5.027245911134903,-2.2970207669615617,carbon nanotube/Nylon 12
8.37005639818022,-2.367478140392476,carbon nanotube/Nylon 12
9.811664914238108,-2.445004942381915,carbon nanotube/Nylon 12
5.027245911134903,4.284525915245836,calcium copper titanate/Nylon 12
8.37005639818022,4.525723750667337,calcium copper titanate/Nylon 12
9.811664914238108,7.346525292913649,calcium copper titanate/Nylon 12
5.027245911134903,10.23636009317336,MWNTs/Nylon 12
8.37005639818022,14.850746880792986,MWNTs/Nylon 12
9.811664914238108,18.305439773855596,MWNTs/Nylon 12
5.027245911134903,-0.9180087303202189,Aluminium dioxide/Nylon 12
8.37005639818022,10.414580548020659,Aluminium dioxide/Nylon 12
9.811664914238108,27.897164146489892,Aluminium dioxide/Nylon 12
