Heat Treatment Temperature (°C),Tan Delta
4,2.635605070518808,graphitic nanoplatelets/Nylon 12
9,20.316842024798227,graphitic nanoplatelets/Nylon 12
10,21.18991897849987,graphitic nanoplatelets/Nylon 12
12,94.67306367855949,graphitic nanoplatelets/Nylon 12
14,126.96329886483244,graphitic nanoplatelets/Nylon 12
18,237.4812148635018,graphitic nanoplatelets/Nylon 12
4,-0.22045135034981267,Paraffinum liquidum/Nylon 12
9,-0.5673958389040885,Paraffinum liquidum/Nylon 12
10,-0.6144868559423682,Paraffinum liquidum/Nylon 12
12,-0.6441036813943961,Paraffinum liquidum/Nylon 12
14,-0.7137936836416459,Paraffinum liquidum/Nylon 12
18,-0.7969351979175288,Paraffinum liquidum/Nylon 12
4,8.071479696458349,graphite nanoplatelets/Nylon 12
9,7.986108858662031,graphite nanoplatelets/Nylon 12
10,7.944150396206287,graphite nanoplatelets/Nylon 12
12,7.897966669087831,graphite nanoplatelets/Nylon 12
14,7.810851575969473,graphite nanoplatelets/Nylon 12
18,7.729691928191782,graphite nanoplatelets/Nylon 12
4,-5.30857274744013,single-walled CNT/Nylon 12
9,-5.651332933823603,single-walled CNT/Nylon 12
10,-5.245265883045649,single-walled CNT/Nylon 12
12,-2.8617667861693254,single-walled CNT/Nylon 12
14,-2.323501271244294,single-walled CNT/Nylon 12
18,-6.271969773205329,single-walled CNT/Nylon 12
4,2.2359511032521766,TiO2/Nylon 12
9,3.219844359664071,TiO2/Nylon 12
10,4.586694503388912,TiO2/Nylon 12
12,3.55235984313334,TiO2/Nylon 12
14,8.386661843017343,TiO2/Nylon 12
18,6.160738986189168,TiO2/Nylon 12
