Pore Volume (cm³/g),Ionic Conductivity (S/m)
2.610775000057437,-7.095892481038308,Clay/Sodium polyacrylate
7.064501124865923,-7.414350050219423,Clay/Sodium polyacrylate
13.257658463431891,-7.6144724101578065,Clay/Sodium polyacrylate
2.610775000057437,-1.0327496217260235,Methoxy(dimethyl)octylsilane/Sodium polyacrylate
7.064501124865923,-1.4493056857333149,Methoxy(dimethyl)octylsilane/Sodium polyacrylate
13.257658463431891,0.18808491334709965,Methoxy(dimethyl)octylsilane/Sodium polyacrylate
2.610775000057437,-2.0337714623115755,Silver hexafluoroantimonate/Sodium polyacrylate
7.064501124865923,3.5295852332335595,Silver hexafluoroantimonate/Sodium polyacrylate
13.257658463431891,-2.175858991454934,Silver hexafluoroantimonate/Sodium polyacrylate
2.610775000057437,-6.621290506304814,CCTO/Sodium polyacrylate
7.064501124865923,-6.850488475565314,CCTO/Sodium polyacrylate
13.257658463431891,-7.117843998648272,CCTO/Sodium polyacrylate
