Temperature (°C),Coercivity (A/m)
3.378756944251484,-2.4787517494178344,Poly(vinyl alcohol)/Poly(2-hydroxyethyl acrylate)
9.450260288442093,5.440091601295624,Poly(vinyl alcohol)/Poly(2-hydroxyethyl acrylate)
12.54221012612162,29.882583849656513,Poly(vinyl alcohol)/Poly(2-hydroxyethyl acrylate)
19.152386980699657,486.10650186647365,Poly(vinyl alcohol)/Poly(2-hydroxyethyl acrylate)
19.55744067236141,136.02704436856104,Poly(vinyl alcohol)/Poly(2-hydroxyethyl acrylate)
3.378756944251484,6.676175671782384,Titanate nanotubes/Poly(2-hydroxyethyl acrylate)
9.450260288442093,25.775520650882843,Titanate nanotubes/Poly(2-hydroxyethyl acrylate)
12.54221012612162,37.29976337542129,Titanate nanotubes/Poly(2-hydroxyethyl acrylate)
19.152386980699657,128.42979768167993,Titanate nanotubes/Poly(2-hydroxyethyl acrylate)
19.55744067236141,530.7661687472887,Titanate nanotubes/Poly(2-hydroxyethyl acrylate)
3.378756944251484,9.176647465155956,MWNTs/Poly(2-hydroxyethyl acrylate)
9.450260288442093,23.94958677787134,MWNTs/Poly(2-hydroxyethyl acrylate)
12.54221012612162,36.69317531084632,MWNTs/Poly(2-hydroxyethyl acrylate)
19.152386980699657,605.0950574212334,MWNTs/Poly(2-hydroxyethyl acrylate)
19.55744067236141,385.7854880328038,MWNTs/Poly(2-hydroxyethyl acrylate)
3.378756944251484,7.668167903320438,alumina/Poly(2-hydroxyethyl acrylate)
9.450260288442093,7.334299827044942,alumina/Poly(2-hydroxyethyl acrylate)
12.54221012612162,7.305847631328012,alumina/Poly(2-hydroxyethyl acrylate)
19.152386980699657,7.285830678632674,alumina/Poly(2-hydroxyethyl acrylate)
19.55744067236141,7.2854616242665085,alumina/Poly(2-hydroxyethyl acrylate)
