Heat Treatment Temperature (°C),Heat Capacity (J/K)
6.94469795082288,-6.121741762500364,
11.100777859455075,-6.302019270334687,
11.31048623223431,-6.333562060535018,
14.2813760918187,-6.410777715767652,
14.533282328133604,-6.395545470247486,
6.94469795082288,4.682854183553568,
11.100777859455075,4.590127894824402,
11.31048623223431,4.59162792541669,
14.2813760918187,4.570852704368782,
14.533282328133604,4.569690737744551,
6.94469795082288,5.682075676358648,
11.100777859455075,5.599465949806336,
11.31048623223431,5.595847985239285,
14.2813760918187,5.5742547492211845,
14.533282328133604,5.574688027057884,
6.94469795082288,-1.0668837255290982,
11.100777859455075,-1.171019555440367,
11.31048623223431,-1.1781088956974275,
14.2813760918187,-1.1945316698747839,
14.533282328133604,-1.195136969670766,
6.94469795082288,-7.352088949496827,
11.100777859455075,-7.451142405109951,
11.31048623223431,-7.453255261255739,
14.2813760918187,-7.4745093102573374,
14.533282328133604,-7.475948537800664,
