Storage Time (days),Magnetic Susceptibility
4.130335313263052,2.929359451495868,0.25% Carbon black/PANa
4.923227680923277,5.038408150887537,0.25% Carbon black/PANa
11.719263508486954,23.986153011844912,0.25% Carbon black/PANa
4.130335313263052,6.239165865135766,0.06% Carbon black/PANa
4.923227680923277,7.144581172182963,0.06% Carbon black/PANa
11.719263508486954,6.459017400129389,0.06% Carbon black/PANa
4.130335313263052,-3.4768711364721856,0.12% Carbon black/PANa
4.923227680923277,-3.567121146940351,0.12% Carbon black/PANa
11.719263508486954,-3.9395994135930974,0.12% Carbon black/PANa
4.130335313263052,-0.27848089385016817,0.55% Carbon black/PANa
4.923227680923277,1.3701404783289544,0.55% Carbon black/PANa
11.719263508486954,29.655087252192164,0.55% Carbon black/PANa
