Temperature (°C),Dynamic Viscosity (Pa·s)
2.5869281858260074,4.1708117965472145,graphite (as received)/TGDDM
2.8940967374477555,4.285783802068511,graphite (as received)/TGDDM
7.383175959166664,4.052510935817488,graphite (as received)/TGDDM
8.373676461825708,3.9146385243613646,graphite (as received)/TGDDM
2.5869281858260074,8.509859521415734,MWCNT/TGDDM
2.8940967374477555,8.451395731106901,MWCNT/TGDDM
7.383175959166664,8.295973994789911,MWCNT/TGDDM
8.373676461825708,8.211868529185951,MWCNT/TGDDM
2.5869281858260074,-3.0255854077571795,HAF/TGDDM
2.8940967374477555,-2.9118344452269262,HAF/TGDDM
7.383175959166664,-3.3174803683999325,HAF/TGDDM
8.373676461825708,-3.3661812959483006,HAF/TGDDM
2.5869281858260074,0.7276589054902018,SWCNT/TGDDM
2.8940967374477555,1.2953522595883329,SWCNT/TGDDM
7.383175959166664,16.484662773724793,SWCNT/TGDDM
8.373676461825708,5.037870338059675,SWCNT/TGDDM
