Softening Temperature (°C),Tensile Modulus (GPa)
0,4.931165085729345,Thermal black/Poly(vinyl pyrrolidone)
1,4.707516579408151,Thermal black/Poly(vinyl pyrrolidone)
3,4.903420706314704,Thermal black/Poly(vinyl pyrrolidone)
5,4.590064873640732,Thermal black/Poly(vinyl pyrrolidone)
13,4.263687159740257,Thermal black/Poly(vinyl pyrrolidone)
14,4.227866616063533,Thermal black/Poly(vinyl pyrrolidone)
0,-4.23862932368063,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
1,-4.694259560740319,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
3,-5.080549751083559,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
5,-5.242067565990374,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
13,-5.451356891460526,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
14,-5.454809272693973,Synthetic fluorine mica/Poly(vinyl pyrrolidone)
0,3.428459855080871,TiNTs/Poly(vinyl pyrrolidone)
1,3.0714768938105905,TiNTs/Poly(vinyl pyrrolidone)
3,2.8394790010565427,TiNTs/Poly(vinyl pyrrolidone)
5,2.819982960568511,TiNTs/Poly(vinyl pyrrolidone)
13,2.5220582989587568,TiNTs/Poly(vinyl pyrrolidone)
14,2.4966879476364943,TiNTs/Poly(vinyl pyrrolidone)
