Evaporation Temperature (°C),Porosity (%)
0.45833123387095,8.326280152126104,PαMS
6.942160510827959,9.46621391792777,PαMS
10.164612056029448,10.236640798204196,PαMS
15.469275732710116,10.547536455558117,PαMS
2,-5.695974063324388,aPP
5,-5.857491753084425,aPP
8,-6.011857656035945,aPP
18,-6.090209722342476,aPP
0.6850629998653113,6.124304888061009,Poly(acrylic acid)
10.939208828911166,5.655169921115492,Poly(acrylic acid)
11.469278146242942,67.89014548119223,Poly(acrylic acid)
11.919254189137451,54.448147745748095,Poly(acrylic acid)
