Polymer Molecular Weight (g/mol),Modulus Of Elasticity (GPa)
0.5258286709614679,5.282274871828779,graphite/PBI
7.262981868684097,21.18381018472983,graphite/PBI
10.282816282261333,9.453599017271728,graphite/PBI
11.850048176230155,33.23977918795205,graphite/PBI
13.803663268620092,54.2269765233741,graphite/PBI
0.5258286709614679,6.288212010996109,single-walled CNT/PBI
7.262981868684097,6.203918567121206,single-walled CNT/PBI
10.282816282261333,6.856909054310071,single-walled CNT/PBI
11.850048176230155,7.889792963402151,single-walled CNT/PBI
13.803663268620092,11.835479191757793,single-walled CNT/PBI
0.5258286709614679,-5.636216634988979,silica/PBI
7.262981868684097,-3.7655302239913264,silica/PBI
10.282816282261333,-4.133064146515085,silica/PBI
11.850048176230155,-5.319718229420849,silica/PBI
13.803663268620092,0.45334695182967977,silica/PBI
0.5258286709614679,8.868273253802535,Furnace black/PBI
7.262981868684097,8.25628242569014,Furnace black/PBI
10.282816282261333,8.1226555396689,Furnace black/PBI
11.850048176230155,8.140246963695613,Furnace black/PBI
13.803663268620092,8.035708382470764,Furnace black/PBI
