Decomposition Temperature (°C),Bond Strength (MPa)
6,-7.343850190699731,polyaniline/PMMA
9,-7.48550959430678,polyaniline/PMMA
10,-7.476692719900985,polyaniline/PMMA
15,-7.525931977134992,polyaniline/PMMA
16,-7.5298374930425656,polyaniline/PMMA
19,-7.534481649787924,polyaniline/PMMA
6,5.1361708135291435,Copper phenylphosphate/PMMA
9,19.177486845989176,Copper phenylphosphate/PMMA
10,7.603085473038686,Copper phenylphosphate/PMMA
15,64.22356186115694,Copper phenylphosphate/PMMA
16,120.38330071725974,Copper phenylphosphate/PMMA
19,205.2570969889403,Copper phenylphosphate/PMMA
