Pore Volume (cm³/g),Heat Capacity (J/K)
6,9.539255885469988,PAMS
7,9.998995226854579,PAMS
11,8.873377207737184,PAMS
15,12.45724461491179,PAMS
6,-0.49749029558833024,poly-HEMA
7,-1.426880493572312,poly-HEMA
11,-1.0072304007988393,poly-HEMA
15,3.2905987918225135,poly-HEMA
6,-6.322809907514026,S-SBR
7,-6.388343780704863,S-SBR
11,-6.464010863777029,S-SBR
15,-6.4881099761856165,S-SBR
6,5.601324631160969,PTrFE
7,5.158532570821862,PTrFE
11,7.9997380579457715,PTrFE
15,9.382010412903009,PTrFE
6,-5.687009968037202,Polyamide-imide
7,-5.712097843113535,Polyamide-imide
11,-5.8200663693754136,Polyamide-imide
15,-5.842804582970617,Polyamide-imide
