Volume Fraction,Young’s Modulus (GPa)
1.7905163688030834,-0.46902820322311434,
6.7528680927657785,-0.9261239165581767,
12.867141351017672,-1.1691619936207296,
1.9341178759919364,1.1706898050032395,
7.072592153223647,8.993806581671588,
12.48381015497274,45.68412314855492,
1.7370041581712692,6.42038228916737,
9.581108235097506,6.6031889749503545,
16.204097465274245,5.869896233801907,
7,7.669627252476618,
12,31.46313762942799,
19,794.3808206138887,
2,-0.8202081177152178,
6,-1.304906097971235,
9,-1.4562478565333588,
