Ion Beam Dose (Gy),Complex Modulus (Pa)
3.5970727076160225,7.9534807203396936,0.77% White mineral oil
6.685324658514378,7.817650650466019,0.77% White mineral oil
9.128063217883522,7.687670003231086,0.77% White mineral oil
12.939151056781968,7.567234474540628,0.77% White mineral oil
3.5970727076160225,6.723527237613052,0.81% White mineral oil
6.685324658514378,9.985540016234307,0.81% White mineral oil
9.128063217883522,20.385469082498417,0.81% White mineral oil
12.939151056781968,78.43508223469382,0.81% White mineral oil
3.5970727076160225,-6.801481137991225,0.98% White mineral oil
6.685324658514378,-7.194264952192239,0.98% White mineral oil
9.128063217883522,-7.198934956066327,0.98% White mineral oil
12.939151056781968,-7.38458381704221,0.98% White mineral oil
3.5970727076160225,-6.309436568528046,0.64% White mineral oil
6.685324658514378,-6.566452066553578,0.64% White mineral oil
9.128063217883522,-6.627861985985429,0.64% White mineral oil
12.939151056781968,-6.674633709537678,0.64% White mineral oil
