Pore Volume (cm³/g),Kinematic Viscosity (mm²/s)
6.135746268804958,1.9989592265944642,Colloidal silica/Poly(ether ether ketone)
8.733477377049745,1.9187929101768642,Colloidal silica/Poly(ether ether ketone)
17.39983884960947,1.7102097649416965,Colloidal silica/Poly(ether ether ketone)
6.135746268804958,9.476641149091995,Fullerene/Poly(ether ether ketone)
8.733477377049745,20.700355814134348,Fullerene/Poly(ether ether ketone)
17.39983884960947,-126.26972300323868,Fullerene/Poly(ether ether ketone)
6.135746268804958,-2.2689074678521313,Silicon carbide/Poly(ether ether ketone)
8.733477377049745,-2.3018308286789777,Silicon carbide/Poly(ether ether ketone)
17.39983884960947,-2.531241194483981,Silicon carbide/Poly(ether ether ketone)
6.135746268804958,6.0412351527350205,single-walled CNT/Poly(ether ether ketone)
8.733477377049745,5.950320515622075,single-walled CNT/Poly(ether ether ketone)
17.39983884960947,5.886914018572869,single-walled CNT/Poly(ether ether ketone)
6.135746268804958,-5.128980242601548,graphene oxide/Poly(ether ether ketone)
8.733477377049745,-5.32823534131804,graphene oxide/Poly(ether ether ketone)
17.39983884960947,-5.522273710658009,graphene oxide/Poly(ether ether ketone)
