Reaction Time (h),Porosity (%)
6,4.131307532223568,0.07% Titanium Dioxide/PVAL
10,4.790803701668003,0.07% Titanium Dioxide/PVAL
11,3.957910833172421,0.07% Titanium Dioxide/PVAL
9,3.24355623771762,0.97% Titanium Dioxide/PVAL
16,3.0138676587495765,0.97% Titanium Dioxide/PVAL
18,2.973803844480891,0.97% Titanium Dioxide/PVAL
4.5981707457377,7.241931825954931,0.63% Titanium Dioxide/PVAL
8.270715741858313,7.05961859736089,0.63% Titanium Dioxide/PVAL
19.604187772621792,6.7118486132524495,0.63% Titanium Dioxide/PVAL
2,3.5334152430813903,0.86% Titanium Dioxide/PVAL
10,2.972422271942952,0.86% Titanium Dioxide/PVAL
14,2.9362325776178175,0.86% Titanium Dioxide/PVAL
