X-ray Dose (Gy),Saturation Magnetization (A/m)
4,5.930064499571739,
6,5.8661151510086995,
12,5.534071248574599,
13,5.51698000080177,
17,5.422300718407461,
18,5.405744759190097,
4,10.356669352407259,
6,12.347287006129076,
12,41.92545241098711,
13,26.20215490114461,
17,-49.04367195685614,
18,-154.329970886808,
4,8.026698357489739,
6,7.783224033277767,
12,7.665134422139505,
13,7.6612144534163855,
17,7.645898320318767,
18,7.64455482783778,
4,7.485598277732029,
6,8.725315453946163,
12,13.661776364936097,
13,4.663096887772194,
17,12.087387292377453,
18,20.913959625660244,
4,1.721236370555204,
6,0.6858955952954928,
12,7.723023862107541,
13,7.751111625331877,
17,6.206814873308077,
18,15.620373006301435,
