Nanoparticle Volume (%),Porosity (%)
2.205496537214222,6.857326490136387,PEEK
5.4612262213884,7.358220131746143,PEEK
12.487221852860756,12.277632933737312,PEEK
17.412753016840835,9.076127073256462,PEEK
3.0562997649321577,9.29134487934601,Poly(methyl acrylate)
3.415670076425261,10.138261999197592,Poly(methyl acrylate)
10.992961930132125,30.430518519453514,Poly(methyl acrylate)
18.10678705830913,453.93409268755005,Poly(methyl acrylate)
0.2038842716674072,-2.8180631843694552,Poly(vinyl acetate)
0.4013423450389286,-2.8137197110742367,Poly(vinyl acetate)
6.1843938067746524,-2.972251580685061,Poly(vinyl acetate)
7.017901211852992,-1.2357830800593104,Poly(vinyl acetate)
1.5551592731005637,-5.704317598236624,Poly(ethylene-vinyl acetate)
6.976083588813307,-6.113551167396882,Poly(ethylene-vinyl acetate)
9.04929338982244,-6.177754935202875,Poly(ethylene-vinyl acetate)
9.687497464996477,-6.165935140658875,Poly(ethylene-vinyl acetate)
