Aspect Ratio,Compressive Modulus (GPa)
1.2070172564968917,7.973255132244029,0.85% titania/Poly(butyl acrylate)
2.8737771845569515,8.527738735328608,0.85% titania/Poly(butyl acrylate)
5.750440494950775,15.153231467466929,0.85% titania/Poly(butyl acrylate)
11.672244079694664,53.51569812758663,0.85% titania/Poly(butyl acrylate)
1.2070172564968917,-4.648502586165245,0.18% titania/Poly(butyl acrylate)
2.8737771845569515,-4.50418825231502,0.18% titania/Poly(butyl acrylate)
5.750440494950775,-4.72917460779364,0.18% titania/Poly(butyl acrylate)
11.672244079694664,-4.953336236867152,0.18% titania/Poly(butyl acrylate)
1.2070172564968917,-4.905164010576284,0.61% titania/Poly(butyl acrylate)
2.8737771845569515,-5.2114285442714605,0.61% titania/Poly(butyl acrylate)
5.750440494950775,-5.580679925990773,0.61% titania/Poly(butyl acrylate)
11.672244079694664,-5.7131228524900814,0.61% titania/Poly(butyl acrylate)
1.2070172564968917,2.818906343806722,0.16% titania/Poly(butyl acrylate)
2.8737771845569515,2.746780967270274,0.16% titania/Poly(butyl acrylate)
5.750440494950775,2.4429575422061522,0.16% titania/Poly(butyl acrylate)
11.672244079694664,2.2555648136819957,0.16% titania/Poly(butyl acrylate)
1.2070172564968917,-5.652717592622394,0.94% titania/Poly(butyl acrylate)
2.8737771845569515,-5.905148836222302,0.94% titania/Poly(butyl acrylate)
5.750440494950775,-5.2817501627518295,0.94% titania/Poly(butyl acrylate)
11.672244079694664,-4.015840329534891,0.94% titania/Poly(butyl acrylate)
