Ultrasound Power (W),Thermal Expansion (1/K)
0,4.325490173772337,Nylon 12
2,3.7692504688998696,Nylon 12
4,3.5057415482938694,Nylon 12
0,-5.4472289175202055,PAA
2,-5.245621292999997,PAA
4,-5.631611028354352,PAA
0,2.6107947171179893,Polybenzimidazole
2,3.160724179605583,Polybenzimidazole
4,2.764749593988773,Polybenzimidazole
0,3.0144503618280165,Polylactic acid
2,2.8040624488846144,Polylactic acid
4,2.5920371492856082,Polylactic acid
0,4.972589714260345,DGEBF Epoxy Resin
2,4.666435420737389,DGEBF Epoxy Resin
4,4.476414730652721,DGEBF Epoxy Resin
