Volume Fraction (%),Specific Viscosity
4.466372545466088,5.25028241272283,Carbon black/sPP
7.1042023433496215,6.12994433044696,Carbon black/sPP
8.149399978022773,7.13216953645297,Carbon black/sPP
8.35994369444348,7.031055162082776,Carbon black/sPP
16.690265989457238,12.617342214532263,Carbon black/sPP
1,4.210339511839663,zinc oxide/sPP
4,6.102404836889119,zinc oxide/sPP
9,19.260527302348553,zinc oxide/sPP
14,13.437361545794452,zinc oxide/sPP
18,-147.5523720019919,zinc oxide/sPP
11.118899245990754,-4.902104114613341,OAPS/sPP
13.714526953464773,-4.985076015407405,OAPS/sPP
16.330057994165525,-5.038858207359369,OAPS/sPP
18.421278454297788,-5.065844465989104,OAPS/sPP
19.86805566475818,-5.093059595328092,OAPS/sPP
