Synthesis Time (min),Hysteresis Loss (J/m³)
2.979094718944113,1.327678044980488,MWNTs/PnBA
8.103347904006057,2.7069183282759752,MWNTs/PnBA
8.304980974916008,1.562421554056812,MWNTs/PnBA
12.471250789920933,1.3912168267398806,MWNTs/PnBA
15.25487539757018,13.42502109396722,MWNTs/PnBA
2.979094718944113,6.05068230028615,AuNPs/PnBA
8.103347904006057,5.83473349340299,AuNPs/PnBA
8.304980974916008,5.762155836985149,AuNPs/PnBA
12.471250789920933,5.659501895795856,AuNPs/PnBA
15.25487539757018,5.571194597847851,AuNPs/PnBA
2.979094718944113,5.088530735490694,exfoliated graphene/PnBA
8.103347904006057,4.8706950522147165,exfoliated graphene/PnBA
8.304980974916008,4.844231106131743,exfoliated graphene/PnBA
12.471250789920933,4.789737551080157,exfoliated graphene/PnBA
15.25487539757018,4.775901863954186,exfoliated graphene/PnBA
2.979094718944113,8.92460581311951,"Iron(II,III) oxide/PnBA"
8.103347904006057,19.149855452922875,"Iron(II,III) oxide/PnBA"
8.304980974916008,13.146797503538053,"Iron(II,III) oxide/PnBA"
12.471250789920933,55.16298144423899,"Iron(II,III) oxide/PnBA"
15.25487539757018,189.22928814613658,"Iron(II,III) oxide/PnBA"
2.979094718944113,5.324084494828177,Synthetic fluorine mica/PnBA
8.103347904006057,5.321567808916826,Synthetic fluorine mica/PnBA
8.304980974916008,5.387278522449142,Synthetic fluorine mica/PnBA
12.471250789920933,5.1678696624849785,Synthetic fluorine mica/PnBA
15.25487539757018,5.084567361068601,Synthetic fluorine mica/PnBA
