Thermal Conductivity (W/(m·K)),Complex Viscosity (Pa·s)
2.7434824359923127,0.8099677130236485,PGMA
3.5327395897470915,0.788288878807594,PGMA
5.032377314893015,0.5838060488053813,PGMA
7.630080851337285,0.5381880273365349,PGMA
16.646076558274288,0.21194850320134193,PGMA
2.7434824359923127,4.783084684742029,PMMA-PtBA
3.5327395897470915,4.732731454584746,PMMA-PtBA
5.032377314893015,4.660066668219104,PMMA-PtBA
7.630080851337285,4.532120607503241,PMMA-PtBA
16.646076558274288,4.242252925549046,PMMA-PtBA
2.7434824359923127,-0.8693097904972285,PA 11
3.5327395897470915,-0.46494359493022386,PA 11
5.032377314893015,0.22378300325869382,PA 11
7.630080851337285,1.0169050241891409,PA 11
16.646076558274288,-4.596937178563826,PA 11
2.7434824359923127,2.8000806068316892,PU
3.5327395897470915,3.022251182078552,PU
5.032377314893015,3.3533835843866795,PU
7.630080851337285,5.61932387273303,PU
16.646076558274288,2.5566969748884594,PU
