Melting Temperature (°C),Flexural Strength (MPa)
1,-4.707955505305356,PDMS
10,-4.634916166778185,PDMS
14,-2.7859328013613123,PDMS
19,-6.502065526952794,PDMS
1,-6.810830858013313,P(VDF-CTFE)
10,-7.375443240355945,P(VDF-CTFE)
14,-7.520250118678166,P(VDF-CTFE)
19,-7.63926077378558,P(VDF-CTFE)
1,9.006749962113886,PA 66
10,9.340556268917165,PA 66
14,160.46442118552392,PA 66
19,932.1726223055756,PA 66
1,1.4844795766882677,Poly(butylene terephthalate)
10,2.6628325664082677,Poly(butylene terephthalate)
14,5.8514580411963575,Poly(butylene terephthalate)
19,15.628759613926588,Poly(butylene terephthalate)
1,1.5404286322697645,Poly(acrylamide)
10,1.161141584528275,Poly(acrylamide)
14,1.0577713227974304,Poly(acrylamide)
19,0.9570516251590012,Poly(acrylamide)
