Young’s Modulus (GPa),Corrosion Rate (mm/year)
4.223148185053955,3.980087438105233,
13.836625530821461,47.56518866472683,
14.679278974324747,84.9273691336383,
4.223148185053955,4.0580549919951014,
13.836625530821461,6.160953550406905,
14.679278974324747,8.03889936577564,
4.223148185053955,5.55388966647915,
13.836625530821461,5.133480066571125,
14.679278974324747,5.115447099461387,
4.223148185053955,4.599261447967345,
13.836625530821461,4.027717735244672,
14.679278974324747,6.439422361334344,
