Synthesis Temperature (°C),Thermal Resistance (K/W)
1.5586188491263164,-3.233722871491364,bisphenol-A phthalonitrile resin
5.050180350652306,-1.4215343357705512,bisphenol-A phthalonitrile resin
12.79404094423855,21.820765486645747,bisphenol-A phthalonitrile resin
16.782510148922857,-104.4468640078473,bisphenol-A phthalonitrile resin
18.949379789949663,-62.57101970410222,bisphenol-A phthalonitrile resin
0.4480429503868377,-5.12125534636224,E-SBR
5.902641329883336,1.056266488667541,E-SBR
9.11984437211615,9.881602125373764,E-SBR
12.984021177974077,84.06218711561611,E-SBR
18.203451226372923,574.5713746316184,E-SBR
1,-0.46346370597452013,Nylon 6(3)T
2,-1.0885816141104456,Nylon 6(3)T
10,-1.0110234969679783,Nylon 6(3)T
13,4.781691060648051,Nylon 6(3)T
15,-0.9296958585773778,Nylon 6(3)T
2,-1.277924896995644,P(VDF-TrFE-CTFE)
4,-1.545891474241038,P(VDF-TrFE-CTFE)
6,-1.6669247820492754,P(VDF-TrFE-CTFE)
8,-1.7448358330902054,P(VDF-TrFE-CTFE)
19,-1.8269042852592514,P(VDF-TrFE-CTFE)
