Evaporation Temperature (°C),Dynamic Viscosity (Pa·s)
3,-3.6375984170174007,Poly(vinyl alcohol)/Poly(4-vinyl pyridine)
6,2.2815818686038156,Poly(vinyl alcohol)/Poly(4-vinyl pyridine)
8,5.239671397615101,Poly(vinyl alcohol)/Poly(4-vinyl pyridine)
11,-0.07393649927781887,Poly(vinyl alcohol)/Poly(4-vinyl pyridine)
14,103.09160211582402,Poly(vinyl alcohol)/Poly(4-vinyl pyridine)
3,-6.219581735305148,White mineral oil/Poly(4-vinyl pyridine)
6,-6.315647056398616,White mineral oil/Poly(4-vinyl pyridine)
8,-6.474122414770261,White mineral oil/Poly(4-vinyl pyridine)
11,-6.4901971034060635,White mineral oil/Poly(4-vinyl pyridine)
14,-6.629149264176311,White mineral oil/Poly(4-vinyl pyridine)
3,-3.746913814191137,titanium dioxide/Poly(4-vinyl pyridine)
6,-2.5712823748043974,titanium dioxide/Poly(4-vinyl pyridine)
8,12.98933535170234,titanium dioxide/Poly(4-vinyl pyridine)
11,26.754663688733647,titanium dioxide/Poly(4-vinyl pyridine)
14,4.558282052359392,titanium dioxide/Poly(4-vinyl pyridine)
