Pore Size (nm),Reduction Potential (V)
5.325111078539166,-4.698191144889235,0.87% C.I. Pigment Black 6
9.177034710359539,-4.792502926812926,0.87% C.I. Pigment Black 6
12.563854006165627,-4.900093269955781,0.87% C.I. Pigment Black 6
5.325111078539166,5.3010214180436055,0.08% C.I. Pigment Black 6
9.177034710359539,22.039663774172404,0.08% C.I. Pigment Black 6
12.563854006165627,16.143042435521835,0.08% C.I. Pigment Black 6
5.325111078539166,5.272022840504849,0.85% C.I. Pigment Black 6
9.177034710359539,5.081079032999979,0.85% C.I. Pigment Black 6
12.563854006165627,5.042408847990448,0.85% C.I. Pigment Black 6
5.325111078539166,0.907541619491544,0.57% C.I. Pigment Black 6
9.177034710359539,1.1553384228915378,0.57% C.I. Pigment Black 6
12.563854006165627,6.404716414974951,0.57% C.I. Pigment Black 6
5.325111078539166,7.913941353905957,0.79% C.I. Pigment Black 6
9.177034710359539,7.625508590407741,0.79% C.I. Pigment Black 6
12.563854006165627,7.512470959508842,0.79% C.I. Pigment Black 6
