Storage Time (days),Thermal Conductivity (W/(m·K))
9.866862509616436,-4.608470743639731,0.43% expanded graphite/P2VP
14.317911867641413,-4.770852150137621,0.43% expanded graphite/P2VP
15.483280776488053,-4.804759275090099,0.43% expanded graphite/P2VP
19.21558463238771,-4.854050250328743,0.43% expanded graphite/P2VP
9.866862509616436,6.176532137942409,0.08% expanded graphite/P2VP
14.317911867641413,6.097981453739832,0.08% expanded graphite/P2VP
15.483280776488053,9.98999043743832,0.08% expanded graphite/P2VP
19.21558463238771,7.784169098687269,0.08% expanded graphite/P2VP
9.866862509616436,-2.2453586144356166,0.02% expanded graphite/P2VP
14.317911867641413,-2.3702551523578848,0.02% expanded graphite/P2VP
15.483280776488053,-2.404137073542194,0.02% expanded graphite/P2VP
19.21558463238771,-2.4634367853572106,0.02% expanded graphite/P2VP
9.866862509616436,0.05491835234515152,0.98% expanded graphite/P2VP
14.317911867641413,-0.9772739590866872,0.98% expanded graphite/P2VP
15.483280776488053,6.743027206961429,0.98% expanded graphite/P2VP
19.21558463238771,4.654849815105838,0.98% expanded graphite/P2VP
