UV Exposure Time (h),Galvanic Potential (V)
4.793731078079773,7.812066776387737,DGEBD Epoxy Resin
11.818120920613493,7.633343540086078,DGEBD Epoxy Resin
12.685887881492139,7.624858410768295,DGEBD Epoxy Resin
4.793731078079773,4.908067601881508,Polyetherketoneketone
11.818120920613493,4.735908129245693,Polyetherketoneketone
12.685887881492139,4.710260828043989,Polyetherketoneketone
4.793731078079773,1.9870152672343566,Poly(ethylene)
11.818120920613493,1.6415328423485458,Poly(ethylene)
12.685887881492139,1.6356490802443382,Poly(ethylene)
4.793731078079773,7.492882353819538,Poly(ether ether ketone)
11.818120920613493,7.269364226777604,Poly(ether ether ketone)
12.685887881492139,7.242813908725546,Poly(ether ether ketone)
