Thickness (µm),Compressive Modulus (GPa)
2.1443821159939924,-5.574758013624641,0.8% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
17.608488405528107,95.18915546517671,0.8% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
19.990902857978618,-329.5162390772482,0.8% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
6,0.9818970902669168,0.94% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
12,0.7999461646969279,0.94% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
15,0.7844569870689102,0.94% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
6.660442716704582,5.622197932165937,0.77% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
7.1669202830996825,5.614954126270308,0.77% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
15.304690435026778,5.502548057787724,0.77% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
1.9119337831549532,-3.8753774471673563,0.14% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
14.433502671905178,-4.300043515612649,0.14% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
14.840353165249383,-4.301826409210341,0.14% Ba0.7Sr0.3TiO3/triglycidyl para-aminophenol
