Calcination Time (h),Loss Factor
10.262308438202492,-2.6337756445823697,EVA
15.692836023627311,-2.8012621535216793,EVA
19.1091077830657,-2.867701355463373,EVA
10.262308438202492,-8.58107462989168,PBuA
15.692836023627311,98.80468225162424,PBuA
19.1091077830657,335.04446231277535,PBuA
10.262308438202492,27.099725232805838,Poly(ethylene)
15.692836023627311,-91.11127416156019,Poly(ethylene)
19.1091077830657,1345.3521851295707,Poly(ethylene)
10.262308438202492,-0.4572077857393063,PP
15.692836023627311,-0.49645801151757163,PP
19.1091077830657,-0.5016669686002109,PP
10.262308438202492,4.810923709969558,PPSF
15.692836023627311,7.196981728363122,PPSF
19.1091077830657,1.382042041183861,PPSF
