Mixing Time (min),Galvanic Potential (V)
5.9165854063523255,8.176006281471064,0.1% Triphenyl phosphate
11.428794737747268,14.613315921252255,0.1% Triphenyl phosphate
15.77959529583514,5.392739067386849,0.1% Triphenyl phosphate
17.371423663215452,9.821338960176254,0.1% Triphenyl phosphate
5.9165854063523255,1.804513314584165,0.56% Triphenyl phosphate
11.428794737747268,5.345256370229329,0.56% Triphenyl phosphate
15.77959529583514,222.45414990461518,0.56% Triphenyl phosphate
17.371423663215452,-57.64595117195561,0.56% Triphenyl phosphate
5.9165854063523255,-3.0479573184420437,0.51% Triphenyl phosphate
11.428794737747268,-3.185659618875777,0.51% Triphenyl phosphate
15.77959529583514,-3.322874567843492,0.51% Triphenyl phosphate
17.371423663215452,-3.3520180629462684,0.51% Triphenyl phosphate
