Holding Time (min),Charge Transfer Resistance (Ω·m²)
1,-0.7912708907023381,
7,-1.1456560356312047,
8,-1.2399628990846063,
10,-1.2744407657843726,
11,-1.3518864789801321,
14,-1.4094881919758477,
1,-5.9780895456090954,
7,-6.275485318295295,
8,-6.370258639455617,
10,-6.426590710756832,
11,-6.43044302334289,
14,-6.482801439226911,
1,-4.419603373305684,
7,-4.478375963336671,
8,-3.3333211838573455,
10,-4.768479453328861,
11,-3.9682322684712252,
14,-1.2389469731803153,
1,4.24629851622413,
7,3.4080535521013133,
8,3.443203753984868,
10,3.3649803898402784,
11,3.2999651998581636,
14,3.2314692614940923,
1,-6.264593799052882,
7,-7.1093482231454,
8,-7.152851836219383,
10,-7.168859801030991,
11,-7.237076305117842,
14,-7.324767997503449,
