Tensile Strength (MPa),Viscosity (Pa·s)
3,-5.740566381946203,CCTO ceramics/Poly(propylene)
4,-5.829697327789803,CCTO ceramics/Poly(propylene)
8,-6.08988209361973,CCTO ceramics/Poly(propylene)
10,-6.11161713963681,CCTO ceramics/Poly(propylene)
15,-6.154865164094034,CCTO ceramics/Poly(propylene)
0,-1.9515520665015336,clay/Poly(propylene)
2,-1.0307902179717563,clay/Poly(propylene)
8,9.75385713131953,clay/Poly(propylene)
15,160.68113600824452,clay/Poly(propylene)
17,-47.86731977748656,clay/Poly(propylene)
2,7.860712771716573,aluminum/Poly(propylene)
3,8.041966565872762,aluminum/Poly(propylene)
13,7.5588860656002534,aluminum/Poly(propylene)
14,7.570966252711805,aluminum/Poly(propylene)
17,7.489260927337774,aluminum/Poly(propylene)
