Specific Heat Capacity (J/(g·K)),Shear Strength (MPa)
7.200479530019037,5.395942844760408,PVAc
7.604621361654578,3.896325027566606,PVAc
13.675007927387405,6.374100641716147,PVAc
16.488813917260792,11.886586232590652,PVAc
19.40429036348568,31.697793735362417,PVAc
7.200479530019037,-5.152798193110076,PEVA
7.604621361654578,-5.152993824416758,PEVA
13.675007927387405,-5.254250850857263,PEVA
16.488813917260792,-5.264548644311809,PEVA
19.40429036348568,-5.2688293614054285,PEVA
7.200479530019037,-3.0040539161185023,PB
7.604621361654578,-3.801204690136868,PB
13.675007927387405,0.8655950992846044,PB
16.488813917260792,-6.898317240320477,PB
19.40429036348568,4.1727363018058465,PB
7.200479530019037,2.186841048407593,PA63T
7.604621361654578,8.535435022843727,PA63T
13.675007927387405,-3.5647364267046378,PA63T
16.488813917260792,208.93662493996763,PA63T
19.40429036348568,-210.0889664424001,PA63T
7.200479530019037,8.083509400070366,Bisphenol E cyanate ester resin
7.604621361654578,7.754720295107705,Bisphenol E cyanate ester resin
13.675007927387405,7.671830497692429,Bisphenol E cyanate ester resin
16.488813917260792,7.404697445327255,Bisphenol E cyanate ester resin
19.40429036348568,28.785750961543066,Bisphenol E cyanate ester resin
